电影详情链接,图片链接,影片中文名,影片外国名,评分,评价数,概况,相关信息
https://movie.douban.com/subject/1296141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,控方证人,  Witness for the Prosecution,9.6,593459,比利·怀德满分作品,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power  玛琳·...1957  美国  剧情 犯罪 悬疑
https://movie.douban.com/subject/1292213/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,大话西游之大圣娶亲,  西遊記大結局之仙履奇緣,9.2,1571676,一生所爱,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow  吴孟达 Man Tat Ng...1995  中国香港 中国大陆  喜剧 爱情 奇幻 古装
https://movie.douban.com/subject/5912992/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,熔炉,  도가니,9.4,955398,我们一路奋战不是为了改变世界，而是为了不让世界改变我们,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong  郑有美 Yu-mi Jung ...2011  韩国  剧情
https://movie.douban.com/subject/1291841/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,教父,  The Godfather,9.3,997232,千万不要记恨你的对手，这样会让你失去理智,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...1972  美国  剧情 犯罪
https://movie.douban.com/subject/6786002/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,触不可及,  Intouchables,9.3,1155157,满满温情的高雅喜剧,导演: 奥利维·那卡什 Olivier Nakache  艾力克·托兰达 Eric Toledano   主...2011  法国  剧情 喜剧
https://movie.douban.com/subject/1849031/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,当幸福来敲门,  The Pursuit of Happyness,9.2,1557704,平民励志片 ,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...2006  美国  剧情 传记 家庭
https://movie.douban.com/subject/20495023/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2461812747.jpg,寻梦环游记,  Coco,9.1,1742880,死亡不是真的逝去，遗忘才是永恒的消亡,导演: 李·昂克里奇 Lee Unkrich  阿德里安·莫利纳 Adrian Molina   主演: ...2017  美国  喜剧 动画 奇幻 音乐
https://movie.douban.com/subject/1293172/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,末代皇帝,  The Last Emperor,9.3,917125,“不要跟我比惨，我比你更惨”再适合这部电影不过了,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone  陈...1987  英国 意大利 中国大陆 法国  剧情 传记 历史
https://movie.douban.com/subject/1291560/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,龙猫,  となりのトトロ,9.2,1298172,人人心中都有个龙猫，童年就永远不会消失,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka  坂本千夏 Ch...1988  日本  动画 奇幻 冒险
https://movie.douban.com/subject/3319755/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,怦然心动,  Flipped,9.1,1881314,真正的幸福是来自内心深处,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll  卡...2010  美国  剧情 喜剧 爱情
https://movie.douban.com/subject/1292365/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,活着, ,9.3,874072,张艺谋最好的电影,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge  巩俐 Li Gong  姜武 Wu Jiang1994  中国大陆 中国香港  剧情 历史 家庭
